                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5406,                 1.4556,                  1.491,                0.53261,                0.49054,                0.44258,                0.24238,                 1.6316,                 2.4138,                 1.6611,             0.00066368,             0.00066368,             0.00066368
                      2,                 1.5768,                 1.3602,                 1.5166,                0.80035,                0.59079,                0.67824,                0.39889,                 1.5644,                 1.2461,                 1.5641,              0.0012425,              0.0012425,              0.0012425
                      3,                 1.5022,                 1.2323,                 1.4563,                0.77513,                0.63473,                0.69612,                0.39375,                 1.5692,                 1.2014,                 1.5464,              0.0017334,              0.0017334,              0.0017334
                      4,                 1.4873,                 1.1896,                 1.4509,                0.84984,                0.64338,                0.74035,                0.44285,                 1.4866,                 1.0439,                 1.4881,               0.001604,               0.001604,               0.001604
                      5,                  1.418,                  1.096,                 1.4061,                0.86076,                0.68563,                0.77011,                0.47338,                 1.4059,                0.98316,                 1.4613,               0.001472,               0.001472,               0.001472
                      6,                 1.3973,                 1.0227,                 1.4171,                 0.7866,                 0.6813,                 0.7546,                0.46908,                 1.3775,                0.95941,                 1.4267,                0.00134,                0.00134,                0.00134
                      7,                 1.3621,                0.95404,                 1.3904,                0.89384,                0.72788,                0.81639,                0.51577,                 1.3344,                0.83498,                 1.3471,               0.001208,               0.001208,               0.001208
                      8,                 1.3457,                0.91898,                 1.3693,                0.87656,                 0.7276,                0.81995,                 0.5265,                 1.3144,                0.82018,                 1.3598,               0.001076,               0.001076,               0.001076
                      9,                 1.3114,                0.87527,                 1.3421,                0.90503,                0.74451,                0.83721,                0.53075,                 1.3241,                0.78656,                 1.3499,               0.000944,               0.000944,               0.000944
                     10,                 1.2903,                0.82715,                 1.3265,                0.90203,                 0.7668,                0.85237,                0.54285,                 1.3039,                0.76435,                 1.3367,               0.000812,               0.000812,               0.000812
                     11,                 1.2586,                0.79337,                 1.3074,                0.91501,                0.77715,                0.86393,                0.55307,                 1.2828,                0.71823,                 1.3228,                0.00068,                0.00068,                0.00068
                     12,                  1.237,                0.75718,                 1.2895,                0.90824,                0.79108,                 0.8711,                0.56219,                 1.2584,                0.68687,                 1.3052,               0.000548,               0.000548,               0.000548
                     13,                 1.2141,                0.71765,                  1.274,                0.91284,                0.79088,                0.87764,                0.57663,                 1.2385,                0.66671,                    1.3,               0.000416,               0.000416,               0.000416
                     14,                 1.1964,                0.69219,                 1.2699,                0.90475,                0.80872,                0.88255,                 0.5806,                 1.2276,                0.64304,                 1.2894,               0.000284,               0.000284,               0.000284
                     15,                 1.1741,                0.66384,                 1.2467,                0.91645,                0.81004,                0.88602,                0.58808,                 1.2104,                0.62231,                 1.2708,               0.000152,               0.000152,               0.000152
